label	script	section	kind	value	figures
overlap is evidence, not proof			text	whether iid standard errors come out smaller depends on the signs and magnitudes of the serial covariances	
calm market is imprecise, not unidentified			text	the Fieller analysis does not classify it as unidentified	
own-index redundancy is scoped to the cases examined			text	In both own-index option cases examined, the compressed cross-section adds no detectable information	
Section 9 opens on identified threats			text	The Internet Appendix examines the principal identified threats to each central claim	
horizon conversion stated			text	thirty calendar days is about twenty-one trading days	
VIX9D is near-matched, not matched			text	ine calendar days is about six trading days	
title page: corresponding author named			text	Corresponding author. Sunny Alex Vellanikaran	
title page: address			text	Independent, United Kingdom.	
title page: JEL codes			sentence with figures	JEL codes: C53, C58, G17, G12, C22.	53 58 17 12 22
housing derivative claim is current, not absolute			text	no options chain on any of the twenty is currently listed and no daily own-market implied-volatility index exists for them	
housing futures acknowledged			text	CME does list futures on the composite and on ten of the metro indices	
4.4 benchmark is not the trailing mean of variance		4.4	text	exponentiated using its own smearing factor and reconstructed using the median available at the forecast origin	
4.5 restoration point, not a ceiling		4.5	sentence with figures	a natural restoration reference point at 100%	100%
4.6 Fieller is one construction, not the only one		4.6	text	the asymptotic Fieller-type inversion used here is one standard construction with that property rather than the only one	
6 points at the subsection that does the fitting		6	text	fits that compressed representation directly	
claim table cross-reference			text	converting it needs a decision problem the holder supplies	
4.2 names its exception		4.2	sentence with figures	Table 1 is the labelled exception	1
S10 caption names the specification		S10	text	Those two columns are the seven-regressor specification, not the compressed one the section's counts use	
S10 negative-cell count		S10	text	Three of the eight own-options cells are significantly negative in this specification	
the two counts share a specification			text	using the compressed one-regressor peer block and the same pointwise criterion in both groups	
other-asset count			text	adds significantly in thirteen of twenty-four cells	
Table S30 compressed foreign block given imp			sentence with figures	64 20 3.2 1 0	64 20 3.2 1 0
Table S30 seven foreign closes given implied			sentence with figures	32 7 1.6 1 0	32 7 1.6 1 0
Table S30 breadth given implied volatility, 			sentence with figures	64 21 3.2 2 2	64 21 3.2 2 2
Table S30 nonlinearity given implied volatil			sentence with figures	48 31 2.4 1 0	48 31 2.4 1 0
Table S30 VSTOXX as a third implied-volatili			sentence with figures	6 0 0.3 0 0	6 0 0.3 0 0
Table S30 pooled row			sentence with figures	pooled 214 79 10.7 5 2	214 79 10.7 5 2
S37 both readings		S37	sentence with figures	Seventy-nine nominally significant cells against 10.7 expected	10.7
S37 exploratory count		S37	text	only five of those seventy-nine survive	
S37 exploratory label		S37	text	The seventy-four that do not are exploratory	
S37 headline excluded		S37	text	the headline comparison is excluded from the pool	
lab14 rate 64%	lab14		statistic	64%	64%
lab14 rate 71%	lab14		statistic	71%	71%
lab14 rate 70%	lab14		statistic	70%	70%
lab14 blur R2 floor	lab14		statistic	0.456	0.456
3 admissibility leaks		3	sentence with figures	There are 0 leaks	0
3 admissibility margin		3	sentence with figures	relies on is 2.00 hours, between N225 and HSI	2.00 225
S35 waste total		S35	sentence with figures	6099 such days occur	6099
S35 waste case		S35	sentence with figures	On 3345 of the 7,021 dates the table sends AXJO back a day for a N225 forecaster	3345 7 021 225
S35 direction		S35	text	the implementation is stricter than the rule it implements: it discards information a real forecaster could lawfully have used	
3 direction summary		3	text	the implementation is stricter than the rule it implements, which is the direction that costs information rather than validity	
3 dates audited		3	sentence with figures	on all 7,021 dates	7 021
8.1 variance window		8.1	text	trailing twelve-month realised variance	
8.1 variance overlap		8.1	text	overlaps the current one in eleven of twelve months	
8.1 variance is backward-looking		8.1	text	The housing one is backward-looking	
8.1 closer analogue		8.1	text	The return target is the closer analogue of the paper's	
4.4 benchmark window		4.4	sentence with figures	over the 1,500 days ending at t − h	1 500
4.4 benchmark is a forecast		4.4	text	it is a forecast, not a fitted constant	
4.4 benchmark not delay-matched		4.4	text	It is not delay-matched	
4.4 benchmark smeared		4.4	text	Leaving the benchmark unsmeared while the models are smeared	
headline interval in Table 2			point+interval	72% [60, 81]	72% 60 81
4 loss disagreement R2 at delta=34		4	statistic	0.0794	0.0794
4 loss disagreement QLIKE at delta=34		4	sentence with figures	−0.0118	0.0118
4 loss disagreement R2 at delta=55		4	statistic	0.0070	0.0070
4 loss disagreement QLIKE at delta=55		4	sentence with figures	−0.0477	0.0477
4 loss disagreement reading		4	text	Where the two conflict we give weight to QLIKE	
S25 delta=1 row		S25	sentence with figures	1 59.9% 31.1% 30.5% +28.8 +0.7 +29.4	1 59.9% 31.1% 30.5% +28.8 +0.7 +29.4
S25 delta=3 row		S25	sentence with figures	3 74.6% 60.4% 60.4% +14.2 -0.0 +14.2	3 74.6% 60.4% 60.4% +14.2 -0.0 +14.2
S25 delta=5 row		S25	sentence with figures	5 85.5% 73.5% 73.6% +12.0 -0.1 +11.9	5 85.5% 73.5% 73.6% +12.0 -0.1 +11.9
S25 delta=8 row		S25	sentence with figures	8 87.8% 78.6% 78.8% +9.1 -0.1 +9.0	8 87.8% 78.6% 78.8% +9.1 -0.1 +9.0
S25 delta=13 row		S25	sentence with figures	13 83.5% 75.7% 75.1% +7.8 +0.6 +8.4	13 83.5% 75.7% 75.1% +7.8 +0.6 +8.4
S25 delta=21 row		S25	sentence with figures	21 83.5% 75.6% 74.5% +7.9 +1.1 +9.0	21 83.5% 75.6% 74.5% +7.9 +1.1 +9.0
S25 delta=34 row		S25	sentence with figures	34 82.0% 76.3% 75.3% +5.7 +0.9 +6.6	34 82.0% 76.3% 75.3% +5.7 +0.9 +6.6
S25 delta=55 row		S25	sentence with figures	55 90.1% 81.0% 80.0% +9.0 +1.1 +10.1	55 90.1% 81.0% 80.0% +9.0 +1.1 +10.1
4.4 bounds the drift piece		4.4	sentence with figures	the drift worth at most 1.1 points at any delay	1.1
S25 bounds the drift piece		S25	sentence with figures	the drift never worth more than 1.1 points at any delay	1.1
S25 splits the one-day gap		S25	sentence with figures	28.8 of the 29.4 points at one day	28.8 29.4
S25 splits the eleven-week gap		S25	sentence with figures	9.0 of the 10.1 at eleven weeks	9.0 10.1
8 quotes the natural-scale rate at 55		8	sentence with figures	80% at eleven weeks	80%
4.4 names the size of the correction		4.4	sentence with figures	by 10 points at eleven weeks	10
S9 records the artefact		S9	text	The flip was an artefact	
S28 gross content points		S28	sentence with figures	+0.002 at &delta; = 0, +0.007 at &delta; = 5, +0.008 at &delta; = 21 and +0.007 at &delta; = 55	+0.002 0 +0.007 5 +0.008 21 +0.007 55
S28 gross content intervals		S28	sentence with figures	[−0.006, +0.011], [−0.003, +0.017], [−0.004, +0.019] and [−0.004, +0.018]	0.006 +0.011 0.003 +0.017 0.004 +0.019 0.004 +0.018
S28 equivalence bound		S28	sentence with figures	rules out a gross gain larger than 0.019 of R&sup2;, at &delta; = 21	0.019 2 21
7 equivalence bound		7	sentence with figures	[−0.004, +0.019] at &delta; = 21, rules out a gross gain above about 0.019 of R&sup2;	0.004 +0.019 21 0.019 2
7 redundant is not equal		7	text	is used in this paper to mean exactly that and never to mean equal	
8.5 window		8.5	sentence with figures	2,098 test days from May 2018	2 098 2018
S24 window share		S24	sentence with figures	46% of Table S22's window	46% 22
S24 horizon effect range		S24	sentence with figures	worth between 0.0237 and 0.0399 of R&sup2;	0.0237 0.0399 2
S24 horizon effect statistics		S24	sentence with figures	Giacomini-White statistics of 3.13 to 3.30	3.13 3.30
S24 foreign increment statistics		S24	sentence with figures	with statistics between −2.24 and −3.29	2.24 3.29
8.5 window cost low		8.5	statistic	0.0190	0.0190
8.5 window cost high		8.5	statistic	0.0269	0.0269
8.5 slope range low		8.5	sentence with figures	−2.32	2.32
8.5 slope range high		8.5	sentence with figures	−3.44	3.44
5.3 span		5.3	text	same day gives R	
5.3 first component		5.3	sentence with figures	accounts for 66.5%	66.5%
5.3 first two		5.3	sentence with figures	the first two for 76.9%	76.9%
5.3 span value		5.3	sentence with figures	= 0.695.	0.695
5.3 six series		5.3	text	six foreign volatility series	
8.5 crisis gain range		8.5	sentence with figures	0.0247 to 0.0405 of R	0.0247 0.0405
8.5 crisis z range		8.5	sentence with figures	2.97 to 3.49	2.97 3.49
8.5 crisis foreign range		8.5	sentence with figures	−0.0148 and −0.0198	0.0148 0.0198
8.5 crisis foreign z		8.5	sentence with figures	−1.95 to −3.10	1.95 3.10
8.5 crisis window 2,004 days		8.5	sentence with figures	2,004 days	2 004
8.5 crisis window 15 February to 30 June 2020		8.5	sentence with figures	15 February to 30 June 2020	15 30 2020
9.3 age g=0		9.3	point+interval	4.6 days old [2.5, 8.4]	4.6 2.5 8.4
9.3 age g=1		9.3	point+interval	6.8 [4.0, 11.1]	6.8 4.0 11.1
9.3 age g=5		9.3	point+interval	12.6 [9.5, 19.6]	12.6 9.5 19.6
9.3 exchange rate g=1		9.3	sentence with figures	2.1 days	2.1
9.3 exchange rate g=5		9.3	point+interval	8.0 [5.9, 12.6]	8.0 5.9 12.6
9.3 exchange rate interval		9.3	interval	[1.4, 3.3]	1.4 3.3
S3 Fieller illustration		S3	interval	at &delta; = 55, [59, 81] against [60, 81]	55 59 81 60 81
11 filter delta=21		11	sentence with figures	by 0.0119	0.0119
11 filter interval delta=21		11	interval	[+0.00021, +0.02382]	+0.00021 +0.02382
11 filter delta=55		11	sentence with figures	by 0.0196	0.0196
11 filter interval delta=55		11	interval	[+0.00316, +0.03530]	+0.00316 +0.03530
11 filter delta=0		11	sentence with figures	by 0.0224	0.0224
11 filter interval delta=0		11	interval	[-0.03319, -0.00952]	-0.03319 -0.00952
11 filter reconstruction		11	sentence with figures	correlates 0.84 with the truth at eleven weeks	0.84
11 filter reconstruction stale		11	sentence with figures	against 0.18 for the stale value	0.18
10.1 projection residue		10.1	sentence with figures	1.8 &times; 10 -11	1.8 10 -11
10.1 exponential margin delta=0		10.1	statistic	0.0018	0.0018
10.1 exponential margin delta=21		10.1	statistic	0.0321	0.0321
10.1 exponential margin delta=55		10.1	statistic	0.0522	0.0522
10.1 training block		10.1	sentence with figures	first 1,500 rows	1 500
10.1 half-lives		10.1	sentence with figures	half-lives of 5, 22 and 66 days	5 22 66
10.1 feature counts		10.1	text	Six features against three	
10.1 persistence		10.1	statistic	0.9265	0.9265
10.1 half-life		10.1	sentence with figures	9.1 trading days	9.1
10.1 state equals observation		10.1	sentence with figures	4.4 &times; 10 -8	4.4 10 -8
10.1 inflation		10.1	sentence with figures	4.1 points	4.1
10.1 rate against the weak arm		10.1	statistic	74.3%	74.3%
10.1 rate against the paper's arm		10.1	statistic	71.4%	71.4%
10.1 ruler point		10.1	sentence with figures	4.2 days rather than 4.6	4.2 4.6
10.1 ruler width		10.1	sentence with figures	7% narrower	7%
11 seam percentiles		11	sentence with figures	70th, 4th and 25th percentiles	70 4 25
11 seam power		11	sentence with figures	an intraday range mis-scaled by 25% is caught	25%
11 seam power limit		11	sentence with figures	while 10% is not	10%
11 seam calibration		11	sentence with figures	400 pseudo-seams	400
10.2 calm age		10.2	sentence with figures	4.5 days	4.5
10.2 calm interval		10.2	interval	[0.3, 44.1]	0.3 44.1
10.2 calm failures		10.2	sentence with figures	47 of 1,500 replications	47 1 500
10.2 stressed age		10.2	point+interval	3.8 days old [1.9, 6.6]	3.8 1.9 6.6
10.2 decile age		10.2	point+interval	3.4 [1.3, 7.2]	3.4 1.3 7.2
10.2 top-5 age		10.2	point+interval	2.3 [0.8, 5.0]	2.3 0.8 5.0
10.2 calm relative width		10.2	sentence with figures	7.8 times as wide	7.8
10.1 envelope spread		10.1	sentence with figures	runs from 60.8% to 74.4%	60.8% 74.4%
10.1 envelope strongest rate		10.1	statistic	67.5%	67.5%
10.1 envelope paired gap		10.1	point+interval	-4.1% [-9.7%, -0.7%]	-4.1% -9.7% -0.7%
10.1 envelope champion skill		10.1	sentence with figures	0.3022 against the paper's 0.2803	0.3022 0.2803
10.1 envelope origin score		10.1	sentence with figures	0.5748 own-only at the origin	0.5748
10.1 envelope delay score		10.1	sentence with figures	-0.0648 at eleven weeks	-0.0648
10.1 envelope redundancy		10.1	sentence with figures	statistics from -1.94 to -2.86	-1.94 -2.86
11 filtered filtered rate		11	sentence with figures	75.4% against the published 71.6%	75.4% 71.6%
11 filtered where it wins		11	text	better model at three of six delays	
11 filtered paired move		11	point+interval	+3.8% [+0.8%, +7.7%]	+3.8% +0.8% +7.7%
11 filtered age		11	point+interval	3.7 days old [2.0, 6.7]	3.7 2.0 6.7
11 filtered published age		11	sentence with figures	rather than the published 4.6	4.6
11 filtered paired age		11	sentence with figures	−0.9 days [−2.3, −0.2]	0.9 2.3 0.2
9.4 row AXJO		9.4	sentence with figures	0.715 72.3% 69.1% +0.0241 +1.60	0.715 72.3% 69.1% +0.0241 +1.60
9.4 row BVSP		9.4	sentence with figures	0.659 67.8% 50.0% -0.0201 -1.81	0.659 67.8% 50.0% -0.0201 -1.81
9.4 row DAX		9.4	sentence with figures	0.779 104.0% 74.0% -0.0113 -2.06	0.779 104.0% 74.0% -0.0113 -2.06
9.4 row FTSE		9.4	sentence with figures	0.754 85.3% 88.0% +0.0186 +1.71	0.754 85.3% 88.0% +0.0186 +1.71
9.4 row HSI		9.4	sentence with figures	0.665 77.6% 69.0% +0.0039 +0.28	0.665 77.6% 69.0% +0.0039 +0.28
9.4 row N225		9.4	sentence with figures	0.589 51.9% 59.7% +0.0034 +0.21	0.589 51.9% 59.7% +0.0034 +0.21
9.4 row NSEI		9.4	sentence with figures	0.568 53.9% 53.2% +0.0393 +1.85	0.568 53.9% 53.2% +0.0393 +1.85
9.4 row SPX		9.4	sentence with figures	0.853 102.6% 71.6% -0.0052 -0.87	0.853 102.6% 71.6% -0.0052 -0.87
9.4 own-options group		9.4	sentence with figures	103% of the delay	103%
9.4 foreign group		9.4	sentence with figures	68% against 65%	68% 65%
9.4 own redundancy		9.4	text	none of the eight cells	
9.4 gradient		9.4	sentence with figures	seven-regressor version read -0.38	-0.38
9.4 foreign significance		9.4	sentence with figures	significantly in 1 of 24 cells	1 24
9.4 withdrawal stated		9.4	text	none of which clears the threshold	
9.4 scope sentence		9.4	text	about the forecaster's information set and not about which option chains exist	
abstract whose-options			text	three points apart rather than thirty-one	
9.4 compressed own seven		9.4	sentence with figures	from -0.0078 to +0.0029	-0.0078 +0.0029
9.4 compressed own compressed		9.4	sentence with figures	stays at 0 of 8	0 8
9.4 compressed foreign seven		9.4	sentence with figures	from +0.0046 to +0.0153	+0.0046 +0.0153
9.4 compressed foreign compressed		9.4	sentence with figures	from 1 of 24 to 13 of 24	1 24 13 24
9.4 compressed mean statistic		9.4	sentence with figures	mean Giacomini-White statistic of 1.54	1.54
9.4 compressed sharpened gradient		9.4	sentence with figures	correlates -0.78 across the eight	-0.78
9.4 compressed bovespa seven		9.4	sentence with figures	-0.0144 with seven regressors	-0.0144
9.4 compressed bovespa compressed		9.4	sentence with figures	+0.0098 with one	+0.0098
9.4 compressed spanning null		9.4	sentence with figures	correlates -0.15 with the increment	-0.15
9.4 clock diagnostic		9.4	text	leaves the increment negative at all three delays	
9.5 row AXJO		9.5	sentence with figures	0.808 68.8% 73.0% +0.0268 +2.70	0.808 68.8% 73.0% +0.0268 +2.70
9.5 row HSI		9.5	sentence with figures	0.731 68.6% 77.0% +0.0195 +2.21	0.731 68.6% 77.0% +0.0195 +2.21
9.5 row N225		9.5	sentence with figures	0.701 58.8% 52.3% +0.0311 +2.62	0.701 58.8% 52.3% +0.0311 +2.62
9.5 row NSEI		9.5	sentence with figures	0.661 53.1% 53.9% +0.0387 +2.49	0.661 53.1% 53.9% +0.0387 +2.49
9.5 row JKSE		9.5	sentence with figures	0.648 41.8% 38.6% +0.0452 +2.44	0.648 41.8% 38.6% +0.0452 +2.44
9.5 row KLCI		9.5	sentence with figures	0.611 44.0% 56.1% +0.0142 +1.61	0.611 44.0% 56.1% +0.0142 +1.61
9.5 row CSEALL		9.5	sentence with figures	0.228 -11.4% -7.6% -0.0115 -2.11	0.228 -11.4% -7.6% -0.0115 -2.11
9.5 row KSE100		9.5	sentence with figures	-0.115 -29.7% -25.4% -0.0167 -1.81	-0.115 -29.7% -25.4% -0.0167 -1.81
9.5 coupling correlation		9.5	sentence with figures	coupling and R(breadth) correlate +0.98	+0.98
9.5 indonesia rate		9.5	sentence with figures	41.8% and 44.0%	41.8% 44.0%
9.5 dead pair		9.5	sentence with figures	-29.7% and -11.4%	-29.7% -11.4%
9.5 pakistan coupling		9.5	sentence with figures	negative at -0.115	-0.115
9.5 statistics		9.5	sentence with figures	+2.44 and +1.61	+2.44 +1.61
9.5 significance hedge		9.5	text	falls short of the threshold	
9.5 provenance		9.5	text	no published implied-volatility index	
9.5 containment		9.5	text	no other number in this paper depends on them	
14 coupling rule		14	sentence with figures	tracks the substitution rate at +0.98	+0.98
fig3 crossing			sentence with figures	crosses zero at a coupling of 0.22	0.22
fig3 not a threshold			text	is not a threshold	
fig3 both groups			text	the relation runs through both groups	
15 monthly delay 1 own		15	statistic	0.4846	0.4846
15 monthly delay 1 cross		15	statistic	0.5430	0.5430
15 monthly delay 1 rate		15	point+interval	20.5% [-18, 63]	20.5% -18 63
15 monthly delay 2 own		15	statistic	0.2331	0.2331
15 monthly delay 2 cross		15	statistic	0.4362	0.4362
15 monthly delay 2 rate		15	point+interval	37.9% [12, 69]	37.9% 12 69
15 monthly delay 3 own		15	statistic	0.0725	0.0725
15 monthly delay 3 cross		15	statistic	0.4122	0.4122
15 monthly delay 3 rate		15	point+interval	48.7% [34, 76]	48.7% 34 76
15 monthly delay 6 own		15	statistic	-0.1399	-0.1399
15 monthly delay 6 cross		15	statistic	0.3562	0.3562
15 monthly delay 6 rate		15	point+interval	54.6% [47, 75]	54.6% 47 75
15 appraised delay 1		15	point+interval	23.1% [-15, 71]	23.1% -15 71
15 appraised delay 2		15	point+interval	35.2% [15, 72]	35.2% 15 72
15 appraised delay 3		15	point+interval	43.8% [28, 75]	43.8% 28 75
15 appraised delay 6		15	point+interval	54.0% [43, 79]	54.0% 43 79
15 burn-in arithmetic		15	text	four hundred and thirty-eight years	
15 test months		15	sentence with figures	109 test months	109
15 width requirement		15	sentence with figures	121 test months	121
15 wider requirement		15	statistic	215	215
9.1 restated limitation		9.1	text	what was missing was a series and not a method	
11 feasibility pointer		11	text	survives being re-specified at monthly frequency	
16 persistence span		16	sentence with figures	from 0.601 at Cleveland to 0.939 at Phoenix with a mean of 0.804	0.601 0.939 0.804
16 coupling span		16	sentence with figures	spans 0.662 to 0.866 with a mean of 0.763	0.662 0.866 0.763
16 observations		16	sentence with figures	9,143	9 143
16 slope refused		16	sentence with figures	0.35 times the width	0.35
16 block price 13		16	statistic	13	13
16 block price 0.7242		16	statistic	0.7242	0.7242
16 block price 0.7489		16	statistic	0.7489	0.7489
16 block bill -0.0246		16	sentence with figures	−0.0246	0.0246
16 block price 1		16	statistic	1	1
16 block price 0.7242		16	statistic	0.7242	0.7242
16 block price 0.7404		16	statistic	0.7404	0.7404
16 block bill -0.0161		16	sentence with figures	−0.0161	0.0161
16 block price 2		16	statistic	2	2
16 block price 0.7242		16	statistic	0.7242	0.7242
16 block price 0.7458		16	statistic	0.7458	0.7458
16 block bill -0.0216		16	sentence with figures	−0.0216	0.0216
16 block price 13		16	statistic	13	13
16 block price 0.9559		16	statistic	0.9559	0.9559
16 block price 0.9162		16	statistic	0.9162	0.9162
16 block bill +0.0397		16	statistic	+0.0397	+0.0397
16 block price 1		16	statistic	1	1
16 block price 0.9559		16	statistic	0.9559	0.9559
16 block price 0.9544		16	statistic	0.9544	0.9544
16 block bill +0.0015		16	statistic	+0.0015	+0.0015
16 block price 2		16	statistic	2	2
16 block price 0.9559		16	statistic	0.9559	0.9559
16 block price 0.9557		16	statistic	0.9557	0.9557
16 block bill +0.0002		16	statistic	+0.0002	+0.0002
16 block rate 167.9%		16	statistic	167.9%	167.9%
16 block rate 91.3%		16	statistic	91.3%	91.3%
16 block rate 90.7%		16	statistic	90.7%	90.7%
16 block rate 88.4%		16	statistic	88.4%	88.4%
16 block rate 160.3%		16	statistic	160.3%	160.3%
16 block rate 66.2%		16	statistic	66.2%	66.2%
16 block rate 67.8%		16	statistic	67.8%	67.8%
16 block rate 69.1%		16	statistic	69.1%	69.1%
16 block rate 144.3%		16	statistic	144.3%	144.3%
16 block rate 69.8%		16	statistic	69.8%	69.8%
16 block rate 72.1%		16	statistic	72.1%	72.1%
16 block rate 72.2%		16	statistic	72.2%	72.2%
16 block rate -88.7%		16	sentence with figures	−88.7%	88.7%
16 block rate -30.6%		16	sentence with figures	−30.6%	30.6%
16 block rate -1.7%		16	sentence with figures	−1.7%	1.7%
16 block rate 26.1%		16	statistic	26.1%	26.1%
16 block rate 0.7%		16	statistic	0.7%	0.7%
16 block rate 10.3%		16	statistic	10.3%	10.3%
16 block rate 19.0%		16	statistic	19.0%	19.0%
16 block rate 34.9%		16	statistic	34.9%	34.9%
16 block rate 20.7%		16	statistic	20.7%	20.7%
16 block rate 28.2%		16	statistic	28.2%	28.2%
16 block rate 30.6%		16	statistic	30.6%	30.6%
16 block rate 36.0%		16	statistic	36.0%	36.0%
16 compression is the method		16	text	compression is part of the method and not a robustness check	
16 bill sizes		16	sentence with figures	cost 0.0397 of	0.0397
16 bill removed		16	sentence with figures	Compression leaves 0.0015 of it	0.0015
16 delay 1 own		16	statistic	0.5697	0.5697
16 delay 1 cross		16	statistic	0.6580	0.6580
16 delay 1 rate		16	sentence with figures	160.3% [−77, 241]	160.3% 77 241
16 delay 1 count		16	sentence with figures	14 of 14	14 14
16 delay 2 own		16	statistic	0.3927	0.3927
16 delay 2 cross		16	statistic	0.5964	0.5964
16 delay 2 rate		16	point+interval	66.2% [52, 86]	66.2% 52 86
16 delay 2 count		16	sentence with figures	14 of 14	14 14
16 delay 3 own		16	statistic	0.3504	0.3504
16 delay 3 cross		16	statistic	0.5952	0.5952
16 delay 3 rate		16	point+interval	67.8% [45, 92]	67.8% 45 92
16 delay 3 count		16	sentence with figures	14 of 14	14 14
16 delay 6 own		16	statistic	0.2080	0.2080
16 delay 6 cross		16	statistic	0.5730	0.5730
16 delay 6 rate		16	point+interval	69.1% [58, 79]	69.1% 58 79
16 delay 6 count		16	sentence with figures	14 of 14	14 14
16 delay 1 own		16	statistic	0.8667	0.8667
16 delay 1 cross		16	statistic	0.8694	0.8694
16 delay 1 rate		16	sentence with figures	0.7% [−9, 9]	0.7% 9 9
16 delay 1 count		16	sentence with figures	6 of 14	6 14
16 delay 2 own		16	statistic	0.7522	0.7522
16 delay 2 cross		16	statistic	0.7745	0.7745
16 delay 2 rate		16	sentence with figures	10.3% [−2, 22]	10.3% 2 22
16 delay 2 count		16	sentence with figures	10 of 14	10 14
16 delay 3 own		16	statistic	0.6277	0.6277
16 delay 3 cross		16	statistic	0.6859	0.6859
16 delay 3 rate		16	point+interval	19.0% [6, 31]	19.0% 6 31
16 delay 3 count		16	sentence with figures	13 of 14	13 14
16 delay 6 own		16	statistic	0.2692	0.2692
16 delay 6 cross		16	statistic	0.4997	0.4997
16 delay 6 rate		16	point+interval	34.9% [19, 48]	34.9% 19 48
16 delay 6 count		16	sentence with figures	14 of 14	14 14
16 seasonal share		16	sentence with figures	19.9% of monthly return variance	19.9%
16 worst metro		16	sentence with figures	41.7% at Cleveland	41.7%
16 profile correlation		16	sentence with figures	correlate +0.894 across metros	+0.894
16 return placebo		16	sentence with figures	placebo earns 4.2% where the real peer mean earns 73.0%	4.2% 73.0%
16 variance placebo		16	sentence with figures	earns 18.6%	18.6%
16 return treatments		16	sentence with figures	73.0% against the published 67.8%, with causal deseasonalisation in between at 71.0%	73.0% 67.8% 71.0%
16 variance treatments		16	sentence with figures	19.0%, 16.0% and 18.6%	19.0% 16.0% 18.6%
16 return breadth		16	sentence with figures	67.8% to 67.5%	67.8% 67.5%
16 variance breadth		16	sentence with figures	19.0% to 19.9%	19.0% 19.9%
